i_config,souris,Idx_souris,n_pixels,lissage_sigma,use_dff,use_global_regression,nRunTrain,n_regions,min_region_size,median_region_size,max_region_size,pVar_final,chi2_final,pVar_max,chi2_min,runtime_sec,status,error
40,M387-6,0,200,2,False,False,100,167,96,196.0,258,0.2558784802839372,6.60687170744873,0.2558784802839372,6.60687170744873,21.796037912368774,success,
41,M387-6,0,200,2,False,True,100,167,96,196.0,258,0.25207655443646393,3.932725092512326,0.25207655443646393,3.932725092512326,21.434871912002563,success,
42,M387-6,0,200,2,True,False,100,167,96,196.0,258,-22.465601077434,264.75551559587217,0.34422519202736734,6.8487221509734,21.92462706565857,success,
43,M387-6,0,200,2,True,True,100,167,96,196.0,258,0.2603775181494059,3.352003034309949,0.2603775181494059,3.352003034309949,21.964298009872437,success,
44,M387-6,0,200,3,False,False,100,167,96,196.0,258,0.23271515921553698,6.820294605681976,0.24149327427685985,6.816316699938106,21.706720113754272,success,
45,M387-6,0,200,3,False,True,100,167,96,196.0,258,0.28933941430164023,4.2286714294480126,0.28933941430164023,4.228366009726934,21.694916248321533,success,
46,M387-6,0,200,3,True,False,100,167,96,196.0,258,0.3024361412093832,8.38308047451738,0.31396799952976884,8.26112377555661,21.37288188934326,success,
47,M387-6,0,200,3,True,True,100,167,96,196.0,258,0.28524624200922455,3.724489566987242,0.28524624200922455,3.724489566987242,21.9878408908844,success,
48,M387-6,0,500,0,False,False,100,68,322,482.5,685,0.029068259206230018,11.100667104179177,0.033862306463645075,11.063019178861856,7.813485860824585,success,
49,M387-6,0,500,0,False,True,100,68,322,482.5,685,0.04501513026707116,6.484872801252203,0.04501513026707116,6.484872801252203,7.877953052520752,success,
50,M387-6,0,500,0,True,False,100,68,322,482.5,685,0.01855306634093934,14.175535373810586,0.02977940261244505,14.052956537616492,7.754322052001953,success,
51,M387-6,0,500,0,True,True,100,68,322,482.5,685,0.06306564702088968,7.102271133743606,0.06306564702088968,7.099369215925393,7.8153369426727295,success,
52,M387-6,0,500,1,False,False,100,68,322,482.5,685,0.09261830288774708,9.20063709208018,0.09261830288774708,9.20063709208018,7.703539133071899,success,
53,M387-6,0,500,1,False,True,100,68,322,482.5,685,0.07788249851320084,5.641202717286964,0.07788249851320084,5.641202717286964,7.876626014709473,success,
54,M387-6,0,500,1,True,False,100,68,322,482.5,685,-0.08966804620453694,14.335705564317447,-0.0296037169656318,13.754439923111558,7.878249883651733,success,
55,M387-6,0,500,1,True,True,100,68,322,482.5,685,0.08457073959550299,5.8558505075880385,0.08457073959550299,5.8558505075880385,7.779036283493042,success,
56,M387-6,0,500,2,False,False,100,68,322,482.5,685,0.08116064968934256,8.991370396732703,0.08387150816823796,8.971302194583195,7.768906116485596,success,
57,M387-6,0,500,2,False,True,100,68,322,482.5,685,0.09628532300827164,5.806575357604017,0.09874215346528936,5.806575357604017,7.836796998977661,success,
